X,Y,Z,OriginTime,MinArrival,MinSee,NumberSeen,MaxAngle,PctEmpty,Volume
0.542196,0.658009,0.840416,0.0494217,0.137566,0.093494,0,0,0.99,0
0.975297,0.551483,0.520038,0.0495269,0.125136,0.0873314,0,0,1,0
0.70385,0.073198,0.099331,0.0495908,0.133227,0.0914088,0,0,1,0
0.663882,0.606941,0.590058,0.0499455,0.120956,0.085451,0,0,1,0
0.778469,0.505632,0.979349,0.0500163,0.103901,0.0769584,0,0,1,0
0.332155,0.0186385,0.887105,0.0500425,0.105695,0.0778686,0,0,1,0
0.42992,0.415812,0.633584,0.0500713,0.150718,0.100395,0,0,1,0
0.28622,0.248112,0.0185633,0.0501335,0.123116,0.0866246,0,0,0.99,0
0.943467,0.946532,0.0438494,0.0501541,0.110583,0.0803685,0,0,1,0
0.334454,0.743357,0.0348624,0.0502542,0.119801,0.0850279,0,0,1,0
0.322061,0.598822,0.207159,0.050291,0.138495,0.0943928,0,0,1,0
0.75185,0.938561,0.666965,0.0503703,0.108079,0.0792246,0,0,0.99,0
0.0913377,0.447216,0.510174,0.0503851,0.117983,0.0841841,0,0,0.99,0
0.562179,0.45784,0.20911,0.0504173,0.140907,0.0956623,0,0,0.99,0
0.587137,0.293043,0.113253,0.0505768,0.123408,0.0869923,0,0,1,0
0.198063,0.222598,0.225974,0.0506809,0.113949,0.0823149,0,0,1,0
0.0657693,0.979939,0.580324,0.0509688,0.0902458,0.0706073,0,0,1,0
0.650847,0.815748,0.400938,0.05097,0.1256,0.0882852,0,0,1,0
0.114522,0.210991,0.962466,0.0510044,0.149086,0.100045,0,0,1,0
0.985536,0.429219,0.487814,0.0510578,0.08749,0.0692739,0,0,0.99,0
0.0598924,0.674392,0.759426,0.0510983,0.126732,0.0889152,0,0,1,0
0.0991219,0.713044,0.00782424,0.0511562,0.126321,0.0887384,0,0,1,0
0.590236,0.768315,0.161989,0.0512214,0.111434,0.0813278,0,0,0.99,0
0.294535,0.274163,0.380095,0.0512793,0.0854421,0.0683607,0,0,1,0
0.273292,0.717898,0.0174767,0.0513091,0.114721,0.0830152,0,0,1,0
0.650719,0.37041,0.89242,0.0513228,0.112216,0.0817693,0,0,1,0
0.786252,0.194005,0.82164,0.0513644,0.130849,0.0911068,0,0,1,0
0.524453,0.351126,0.361419,0.0514405,0.117426,0.084433,0,0,1,0
0.202286,0.41221,0.399787,0.0514636,0.143321,0.0973922,0,0,1,0
0.355758,0.79377,0.845099,0.0514948,0.103238,0.0773665,0,0,1,0
0.803661,0.0826365,0.989065,0.0517365,0.116082,0.0839094,0,0,1,0
0.409921,0.32492,0.873312,0.0517833,0.134172,0.0929778,0,0,1,0
0.157383,0.859703,0.325375,0.0518961,0.119865,0.0858804,0,0,1,0
0.96481,0.299043,0.66234,0.0519008,0.119005,0.0854531,0,0,0.99,0
0.313669,0.941441,0.153979,0.0520039,0.112986,0.082495,0,0,1,0
0.374746,0.906962,0.460178,0.0520363,0.136515,0.0942755,0,0,1,0
0.551916,0.577315,0.365796,0.052185,0.114495,0.08334,0,0,1,0
0.702507,0.868652,0.0140832,0.0522255,0.149467,0.100846,0,0,1,0
0.666731,0.820891,0.487072,0.0522354,0.138707,0.0954714,0,0,1,0
0.972986,0.822639,0.719589,0.0524078,0.0841139,0.0682609,0,0,1,0
0.440621,0.158065,0.791882,0.0525441,0.121026,0.0867848,0,0,1,0
0.937556,0.899497,0.351005,0.0525585,0.126863,0.0897109,0,0,1,0
0.695711,0.425897,0.453489,0.0525772,0.128344,0.0904607,0,0,1,0
0.336779,0.167003,0.318872,0.0526834,0.109279,0.080981,0,0,1,0
0.419111,0.403589,0.44977,0.0526993,0.114495,0.083597,0,0,1,0
0.748073,0.139804,0.683974,0.052717,0.104903,0.0788101,0,0,1,0
0.808388,0.128425,0.548007,0.0528414,0.0807771,0.0668092,0,0,1,0
0.860175,0.819454,0.841135,0.0528732,0.12565,0.0892616,0,0,1,0
0.875505,0.142557,0.49515,0.052901,0.133818,0.0933593,0,0,1,0
0.786054,0.166927,0.661047,0.0529051,0.104715,0.0788101,0,0,0.99,0
0.124374,0.104554,0.28672,0.0529178,0.0829141,0.067916,0,0,1,0
0.754766,0.90081,0.171412,0.0529854,0.108287,0.0806361,0,0,1,0
0.0092572,0.968992,0.101317,0.053249,0.118219,0.0857338,0,0,1,0
0.13618,0.857994,0.752654,0.053266,0.112115,0.0826907,0,0,1,0
0.0504738,0.615298,0.370877,0.0533428,0.138633,0.095988,0,0,1,0
0.270568,0.314385,0.0524775,0.053376,0.126208,0.0897921,0,0,1,0
0.0636932,0.321687,0.322234,0.0534034,0.128162,0.0907825,0,0,1,0
0.55012,0.584998,0.716138,0.0534435,0.126314,0.0898786,0,0,1,0
0.948271,0.651816,0.532753,0.0537597,0.139227,0.0964934,0,0,1,0
0.226807,0.762847,0.22805,0.0539139,0.148169,0.101042,0,0,1,0
0.512442,0.0280589,0.754896,0.0539528,0.104951,0.0794519,0,0,1,0
0.879735,0.236683,0.324388,0.0540186,0.126451,0.0902349,0,0,1,0
0.222483,0.85332,0.253508,0.0540828,0.121366,0.0877246,0,0,0.99,0
0.350851,0.721815,0.748842,0.0541491,0.126831,0.0904901,0,0,1,0
0.812268,0.672211,0.103314,0.054178,0.151801,0.10299,0,0,0.99,0
0.402608,0.110419,0.108337,0.0541914,0.139925,0.0970584,0,0,1,0
0.319568,0.0480828,0.12281,0.0542237,0.138056,0.0961398,0,0,1,0
0.557198,0.206483,0.241416,0.0545103,0.0666726,0.0605915,0,0,0.99,0
0.466196,0.715695,0.526085,0.0545343,0.119361,0.0869478,0,0,1,0
0.789422,0.480959,0.769711,0.0548017,0.09555,0.0751758,0,0,1,0
